Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Hard Speed,Bard Hard Speed,Bolt Hard Speed,Cad Hard Speed,Dia Hard Speed,Dor Hard Speed,Dove Hard Speed,Eli Hard Speed,Mary Hard Speed,Mel Hard Speed,Monk Hard Speed,Noc Hard Speed,Tempo Hard Speed,Coda Hard Speed,Aria NR Speed,Bard NR Speed,Bolt NR Speed,Cad NR Speed,Dia NR Speed,Dor NR Speed,Dove NR Speed,Eli NR Speed,Mary NR Speed,Mel NR Speed,Monk NR Speed,Noc NR Speed,Tempo NR Speed,Coda NR Speed,Aria Rando Speed,Bard Rando Speed,Bolt Rando Speed,Cad Rando Speed,Dia Rando Speed,Dor Rando Speed,Dove Rando Speed,Eli Rando Speed,Mary Rando Speed,Mel Rando Speed,Monk Rando Speed,Noc Rando Speed,Tempo Rando Speed,Coda Rando Speed,Aria Phasing Speed,Bard Phasing Speed,Bolt Phasing Speed,Cad Phasing Speed,Dia Phasing Speed,Dor Phasing Speed,Dove Phasing Speed,Eli Phasing Speed,Mary Phasing Speed,Mel Phasing Speed,Monk Phasing Speed,Noc Phasing Speed,Tempo Phasing Speed,Coda Phasing Speed,Aria Mystery Speed,Bard Mystery Speed,Bolt Mystery Speed,Cad Mystery Speed,Dia Mystery Speed,Dor Mystery Speed,Dove Mystery Speed,Eli Mystery Speed,Mary Mystery Speed,Mel Mystery Speed,Monk Mystery Speed,Noc Mystery Speed,Tempo Mystery Speed,Coda Mystery Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Aria Hard Score,Bard Hard Score,Bolt Hard Score,Cad Hard Score,Dia Hard Score,Dor Hard Score,Dove Hard Score,Eli Hard Score,Mary Hard Score,Mel Hard Score,Monk Hard Score,Noc Hard Score,Tempo Hard Score,Coda Hard Score,Aria NR Score,Bard NR Score,Bolt NR Score,Cad NR Score,Dia NR Score,Dor NR Score,Dove NR Score,Eli NR Score,Mary NR Score,Mel NR Score,Monk NR Score,Noc NR Score,Tempo NR Score,Coda NR Score,Aria Rando Score,Bard Rando Score,Bolt Rando Score,Cad Rando Score,Dia Rando Score,Dor Rando Score,Dove Rando Score,Eli Rando Score,Mary Rando Score,Mel Rando Score,Monk Rando Score,Noc Rando Score,Tempo Rando Score,Coda Rando Score,Aria Phasing Score,Bard Phasing Score,Bolt Phasing Score,Cad Phasing Score,Dia Phasing Score,Dor Phasing Score,Dove Phasing Score,Eli Phasing Score,Mary Phasing Score,Mel Phasing Score,Monk Phasing Score,Noc Phasing Score,Tempo Phasing Score,Coda Phasing Score,Aria Mystery Score,Bard Mystery Score,Bolt Mystery Score,Cad Mystery Score,Dia Mystery Score,Dor Mystery Score,Dove Mystery Score,Eli Mystery Score,Mary Mystery Score,Mel Mystery Score,Monk Mystery Score,Noc Mystery Score,Tempo Mystery Score,Coda Mystery Score,Aria DL,Bard DL,Bolt DL,Cad DL,Dia DL,Dor DL,Dove DL,Eli DL,Mary DL,Mel DL,Monk DL,Noc DL,Tempo DL,Coda DL
ID:76561198060544404,742,0,0,430,306,0,0,0,0,191,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,0,1748,289,0,0,0,0,0,106,3581,457,3253,462,0,0,0,434,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198043972827,1688,789,1417,334,0,1906,3373,1419,0,3363,2031,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,0,822,0,0,1499,2789,0,3261,0,1950,0,3845,519,0,262,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198013997592,0,659,0,2006,4903,1404,0,748,0,596,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2871,1248,489,1205,0,1763,3084,3643,1465,3654,0,570,4764,0,1651,0,1446,0,0,0,0,0,0,0,0,0,1423,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,127,0,650,166,0,0,0,0,1684,0,0,0,0,420,0,0,0,130,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2580,0,122,0,0,0,0,0,0,0,0,0,0
ID:76561198200545706,0,4543,0,2171,530,299,522,336,184,1339,0,2003,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,922,0,0,0,0,0,292,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1896,0,1055,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,2264,0,0,0,2381,0,1737,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,3871,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amalloy,845,0,0,0,2091,2219,0,0,919,4543,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,3209,339,1567,0,0,41,477,3141,2975,393,0,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2681,0,0,158,0,0,0,0,0,0,0,0,142,0,26,0,0
ID:76561198018233019,1334,0,1074,797,640,514,504,608,0,796,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,0,1870,0,3856,1358,1456,2103,0,0,2719,0,4363,0,1201,765,638,0,0,0,2822,0,0,0,0,0,0,0,3547,0,0,0,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,856,0,2778,0,0,0,0,0,0,0,0,0,0,0,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0
ID:76561198119970742,1023,2604,1147,2135,571,695,2557,1836,0,1495,1517,1515,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,1658,0,3333,3031,2525,4538,0,0,708,3622,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198013604930,1255,1439,0,3741,1962,0,541,0,511,1691,0,865,1853,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,595,0,0,0,331,0,626,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,1543,4227,2722,0,2163,4811,4629,0,1346,0,3037,0,89,0,1548,1105,0,0,974,0,0,0,0,0,0,0,0,0,2299,0,0,0,649,0,1815,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,246,0,0,0,226,0,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,113,0,0,0,0,0,0,0,320,0,1411,0,0,0,0,0,0,0,0,0,0
ID:76561198047647519,1781,0,0,0,0,2505,0,0,1284,3920,1695,4750,1922,0,548,0,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,2406,4160,0,191,0,0,293,0,179,1509,173,0,113,2440,1090,411,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3886,0,0,0,0,0,0,0,0,0,0,516,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,3445,0,0,0,0,0,0,0,0,0,0
ID:76561198176662233,1102,1613,712,3527,1369,988,0,960,0,499,0,2820,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,645,0,0,0,0,0,0,0,859,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,0,745,0,2849,192,1146,1488,0,2642,3785,0,0,314,2740,2575,0,0,0,0,497,0,0,0,0,0,0,0,0,0,83,0,0,0,1538,0,0,0,0,0,0,0,165,0,50,0,0,0,1801,0,0,0,0,0,0,0,108,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,193,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0,0,0,0,0,0,0,0
ID:76561198045944441,1273,2030,351,0,0,568,405,0,574,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,121,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,500,4056,551,4698,0,444,0,0,1339,0,0,0,2162,557,0,0,0,0,0,0,0,0,51,52,0,57,0,0,3063,289,0,0,0,0,874,0,0,0,0,50,0,0,0,0,0,195,3852,206,555,553,58,29,0,40,711,0,1994,0,0,953,0,133,327,0,66,1096,344,0,0,0,0,0,0,51,1743,0,448,79,40,107,0,58,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198162804352,1758,3316,1130,3241,0,1609,2855,3424,0,1586,1596,1054,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,390,0,1448,0,0,824,1478,4628,2406,3413,404,3237,1580,0,1633,0,0,0,0,0,2322,0,0,0,0,0,0,0,3242,0,0,0,0,0,896,0,0,0,0,0,192,0,0,0,0,0,0,0,2871,0,0,0,0,0,77,0,0,0,0,382,3000,0,4476,0,0,0,0,0,419,0,1152,0,0,0,1150,0,4528,654,0,42,0,0,267,0,2492,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,0,0
ID:76561198021846615,1657,0,0,3288,0,268,1237,3178,0,1233,1116,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,0,0,211,0,598,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,833,3369,0,1226,3479,3537,1023,3776,2436,4307,809,2202,4226,0,2544,0,0,0,0,0,2814,0,0,0,0,0,0,0,1372,0,0,0,142,0,1549,25,0,0,0,60,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,4284,0,0,0,0,0,0,0,83,0,0,0,425,0,2276,0,0,0,0,0,0,0,697,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0
ID:76561198012936122,0,1124,365,2990,389,0,0,0,396,1243,0,2379,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,0,982,0,214,4135,0,0,2234,0,0,0,1106,551,0,1984,0,0,0,0,0,233,0,0,0,0,0,0,3481,223,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,174,0,0,0,0,0,0,566,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sylvain,1393,1399,0,0,1572,0,0,0,444,0,0,1004,753,0,422,117,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,2608,0,0,0,0,0,1477,0,0,547,1249,237,992,202,1129,0,0,0,0,0,0,0,0,0,0,0,4052,0,0,0,0,0,1474,0,0,0,0,0,0,0,0,0,0,0,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0
ID:76561198066183451,1200,1501,0,1343,1246,1188,1616,660,0,1121,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,2769,3247,1504,3652,2319,1314,1916,3434,1015,0,1612,4013,0,4717,0,0,0,0,0,1116,0,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,3682,0,0,0,0,0,0,0,0,0,0,0,0,0,4030,0,0,0,0,0,0,0,0,0,0
ID:76561198142408226,1252,3060,0,0,3698,0,3208,2005,0,3421,0,0,1572,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,2454,0,4316,600,4353,265,3573,3963,309,2796,2491,278,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,0,0,0,0,0
ID:76561198012341844,1436,0,1491,0,978,1918,1635,0,1505,3759,1409,1587,1300,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319,0,1386,4778,248,870,2602,0,2173,1470,1503,1247,628,0,0,0,256,0,0,0,1518,106,0,0,0,0,409,0,357,0,0,0,0,0,1041,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198142543085,535,3775,0,1029,857,0,1353,878,0,543,0,1167,0,0,0,0,0,0,0,0,118,0,0,0,0,0,83,0,414,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,95,0,0,0,0,892,0,1780,4173,0,2782,1397,444,0,800,2243,4851,0,0,2730,1636,0,0,0,0,1033,0,0,0,0,0,337,0,2183,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,768,0,0,0,0,0,0,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,55,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0
ID:76561198122578100,0,752,0,2015,2812,800,1231,872,901,1155,466,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,419,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,4720,2802,0,0,0,610,4622,890,1598,4880,1606,0,2522,0,0,0,0,0,2159,0,3084,0,0,0,253,0,1074,0,4134,299,0,0,2481,0,3090,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,25,0,0,0,433,0,4204,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,400,0,0,553,0,0,0,0,318,1397,0,559,0,0,0,0,0,0,0,0,0,0
ID:76561199116857658,1762,3432,0,1434,2820,1241,1887,1865,1231,0,1215,1437,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,1063,0,4504,0,0,1270,1016,1328,828,0,455,827,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,1213,0,0,0,0,0,0,0,0,0,1161,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0
ID:76561197993615914,0,315,0,458,220,0,565,0,0,417,0,248,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1989,0,0,0,2656,0,2531,0,4894,1334,2279,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,2413,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,3230,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,406,0,0,0,0,0,2624,0,2191,0,0,0,0,0,0,0,0,0,0
TuTri,107,0,0,0,327,0,0,0,0,0,0,613,507,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,2049,632,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,3909,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marumaruitem,1338,1678,0,876,860,0,0,0,0,0,0,2246,1464,0,0,0,0,0,246,0,280,0,0,0,0,0,0,0,843,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,90,0,187,660,0,0,4882,0,0,0,83,662,0,0,0,0,0,30,0,177,0,0,0,0,0,0,0,982,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2953,0,0,0,0,0,0,0,0,0,0
ID:76561198004583387,1774,0,0,2376,1080,904,2325,1261,0,853,817,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,2092,1689,612,1183,731,3622,1527,2931,921,668,0,4178,0,1394,1791,0,0,0,0,0,0,0,0,0,0,0,0,4171,0,0,0,0,0,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,0,0,0,0,0,0,0,0,0,0
ID:76561198078562428,1167,2876,0,3287,474,0,0,0,0,1480,776,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,799,0,0,0,0,0,70,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,119,1535,2232,3725,3141,0,0,0,0,147,275,203,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,163,149,0,180,0,0,0,0,0,564,0,0,0,0,0,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198850117500,1461,1051,901,1545,4077,1596,0,0,1129,2000,1627,2103,1000,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,2932,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,111,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,2212,4426,1845,0,0,928,0,0,1647,3005,1813,0,722,0,627,1710,0,0,1484,0,740,0,0,0,0,0,890,0,2585,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,1078,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0
ID:76561198040923558,588,0,0,4683,1964,625,853,1549,0,2173,608,3184,1541,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,1939,2377,0,2959,0,2337,779,2180,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,4410,0,0,0,743,0,4833,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,150,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID:76561198198643366,0,1461,1247,2718,1325,389,0,373,603,0,0,520,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,2717,4438,2373,1727,0,3198,0,1688,628,0,3173,0,0,0,0,0,0,0,0,0,0,0,0,1865,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,4375,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,1350,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0
ID:76561198191856457,0,261,0,389,372,0,0,302,0,349,0,1392,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,0,2535,0,0,3135,0,4769,2804,0,3984,0,1194,0,0,0,0,0,1726,0,0,0,0,0,0,0,0,0,0,209,0,0,1517,0,0,0,0,0,0,0,584,0,0,44,0,0,2361,0,4182,0,82,0,0,0,0,0,0,0,0,0,2253,323,0,637,179,0,0,0,1099,0,0,0,0,0,2966,0,0,0,0,0,0,0,0,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
